indicative_duration,location,mo1_gender,gender_no,mo2_age,mo3_education,mo4_madrassa,mo5_monthly_income,mo6_local_influence,mo7_basis_for_local_influence,mo8_current_occupation,ms1_impact,ms2_size_of_bribe,ms3_type_of_abuse,ms4_service_with_worst_problem,pd,selected_cohort,stone_name,surveyor,latitude,longitude
31,Kabul PD11 - (500) Family,Female,1,26 - 35,Secondary education / High School / Institute,No,"10,001 - 15,000 AFN",Yes,Respected and skilled artisan,Other,Extreme impact,"1,000 Afs",Payment of money,Tashkera,PD11,34,Placeholder,Tablet 04 - Marwa (Kabul),34.54990848,69.16485969
30,Kabul PD16 - Guzar Samant Khana,Female,1,Up to 25,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,,Provincial Official,Strong impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55007103,69.16482355
,Kabul PD16 - Guzar Samant Khana,Female,1,26 - 35,Secondary education / High School / Institute,No,I prefer not to say,No,,Other,Strong impact,No payment made,Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55007103,69.16482355
45,Kabul PD16 - Guzar Samant Khana,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55007103,69.16482355
20,Kabul PD16 - Guzar Samant Khana,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Payment of money,Other,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55007103,69.16482355
28,Kabul PD16 - Guzar Samant Khana,Female,1,36 - 45,I do not have any formal education,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Payment of money,Other,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55007103,69.16482355
27,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,36 - 45,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Moderate impact,"1,000 Afs",Refusal of service,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55010989,69.16478726
19,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,46 - 55,I do not have any formal education,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Payment of money,Other,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55010989,69.16478726
17,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Request for breakfast,Other,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55010989,69.16478726
,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55010989,69.16478726
18,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,56 and older,I do not have any formal education,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,33,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.55010989,69.16478726
26,Kabul PD11 - Afsotar appartments,Female,1,I prefer not to say,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,No,None of the above,Malik or Wakil-e-Guzar,Almost no impact,Larger,Payment of money,Tashkera,PD11,,Placeholder,Tablet 08 - Not assigned (Kabul),34.54951742,69.16452745
12,Kabul PD11 - Lisa Maryam,Female,1,26 - 35,University or post-graduate education,"Yes, on a regular basis","15,001 - 20,000 AFN",No,None of the above,Other,Strong impact,No payment made,Threat of incarceration,Reporting a offence/crime to the police,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.55438571,69.16255162
19,Kabul PD11 - Qala-e-Najara,Female,1,Up to 25,Primary education,"Yes, some","10,001 - 15,000 AFN",No,"Judge or senior official in district, provincial or national Government",Malik or Wakil-e-Guzar,Moderate impact,100 Afs,Payment of money,Tashkera,PD11,31,Placeholder,Tablet 16 - Humaira (Kabul),34.55560441,69.16028856
10,Kabul PD11 - Qala-e-Najara,Female,1,26 - 35,University or post-graduate education,No,"15,001 - 20,000 AFN",No,Respected and skilled artisan,Professional / Manager,Extreme impact,"1,000 Afs",Payment of money,Obtaining a judgement,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.55560441,69.16028856
17,Kabul PD11 - Qala-e-Najara,Female,1,36 - 45,Vocational training after Secondary / High School,"Yes, on a regular basis",I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)",Professional / Manager,Extreme impact,"10,000 Afs",Payment of money,Tashkera,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.55560441,69.16028856
43,Kabul PD11 - Qala-e-Najara,Female,1,26 - 35,University or post-graduate education,No,"25,001 - 40,000 AFN",No,Selected or elected representative (past or present),Member of Shura or CDC,Extreme impact,"1,000,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.55560441,69.16028856
27,Kabul PD11 - Qala-e-Najara,Female,1,56 and older,Secondary education / High School / Institute,No,6001 - 8000 AFN,Yes,"Respected professional (e.g. Educational, Medical, Technical)",Professional / Manager,Extreme impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,34,Placeholder,Tablet 16 - Humaira (Kabul),34.55560441,69.16028856
,Kabul PD11 - Sare Kotal Khair khana,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,None of the above,Police,Almost no impact,"1,000 Afs",Payment of money,Tashkera,PD11,31,Placeholder,Tablet 08 - Not assigned (Kabul),34.55595214,69.15976962
28,Kabul PD11 - Hase Awal Khair Khana,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,Religious Leader,Provincial Official,Moderate impact,100 Afs,Payment of money,Tashkera,PD11,,Placeholder,Tablet 16 - Humaira (Kabul),34.55645061,69.15958422
17,Kabul PD11 - Hase Awal Khair Khana,Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, some","8001 - 10,000 AFN",No,Community Leader,Malik or Wakil-e-Guzar,Strong impact,No payment made,Delay of service,Tashkera,PD11,,Placeholder,Tablet 16 - Humaira (Kabul),34.55645061,69.15958422
21,Kabul PD11 - Hase Awal Khair Khana,Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, on a regular basis","10,001 - 15,000 AFN",No,Religious Leader,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Driver license,PD11,,Placeholder,Tablet 16 - Humaira (Kabul),34.55645061,69.15958422
20,Kabul PD11 - Hase Awal Khair Khana,Female,1,Up to 25,Secondary education / High School / Institute,No,I prefer not to say,No,Selected or elected representative (past or present),Member of Shura or CDC,Extreme impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,,Placeholder,Tablet 16 - Humaira (Kabul),34.55645061,69.15958422
22,Kabul PD11 - Hase Awal Khair Khana,Female,1,26 - 35,Secondary education / High School / Institute,"Yes, on a regular basis",I prefer not to say,No,Senior Officer in the Afghan Army or Afghan National Police,District Official,Extreme impact,"100,000 Afs",Payment of money,Driver license,PD11,,Placeholder,Tablet 16 - Humaira (Kabul),34.55645061,69.15958422
17,Kabul PD11 - Hase Awal Khair Khana,Female,1,36 - 45,University or post-graduate education,"Yes, some","25,001 - 40,000 AFN",No,Community Leader,Provincial Official,Extreme impact,Larger,Payment of money,District office to obtain official documentation such as land ownership,PD11,,Placeholder,Tablet 16 - Humaira (Kabul),34.55645061,69.15958422
60,Kabul PD11 - Afsotar appartments,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,Religious Leader,Malik or Wakil-e-Guzar,Almost no impact,100 Afs,Payment of money,Tashkera,PD11,31,Placeholder,Tablet 16 - Humaira (Kabul),34.57102481,69.15355054
23,Kabul PD11 - (500) Family,Female,1,Up to 25,Vocational training after Secondary / High School,No,"Less than 2,000 AFN",No,Selected or elected representative (past or present),Paid worker in any sector,Strong impact,100 Afs,Payment of money,Tashkera,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.57102481,69.15355054
20,Kabul PD11 - (500) Family,Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, some",6001 - 8000 AFN,No,"Judge or senior official in district, provincial or national Government",Malik or Wakil-e-Guzar,Strong impact,100 Afs,Payment of money,Tashkera,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.57102481,69.15355054
20,Kabul PD11 - (500) Family,Female,1,46 - 55,Primary education,No,I prefer not to say,Yes,Community Leader,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.57102481,69.15355054
12,Kabul PD11 - (500) Family,Female,1,36 - 45,Primary education,No,I prefer not to say,No,"Judge or senior official in district, provincial or national Government",Provincial Official,Extreme impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.57102481,69.15355054
41,Kabul PD11 - (500) Family,Female,1,36 - 45,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,Larger,Other (please specify below),Other,PD11,31,Placeholder,Tablet 04 - Marwa (Kabul),34.5881686,69.15329611
23,Kabul PD11 - (500) Family,Female,1,36 - 45,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,Larger,Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 04 - Marwa (Kabul),34.5881686,69.15329611
37,Kabul PD11 - Shahrak (212) Family,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Extreme impact,"10,000 Afs",Other (please specify below),Other,PD11,32,Placeholder,Tablet 04 - Marwa (Kabul),34.5881686,69.15329611
28,Kabul PD11 - (500) Family,Female,1,26 - 35,Secondary education / High School / Institute,No,I prefer not to say,No,None of the above,Other,Moderate impact,No payment made,Other (please specify below),Other,PD11,31,Placeholder,Tablet 04 - Marwa (Kabul),34.58704347,69.14913076
,Kabul PD16 - Alokhel,Female,1,26 - 35,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Paid worker in any sector,Strong impact,"10,000 Afs",Payment of money,Filing a case with the courts,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.58716341,69.14894168
45,Kabul PD11 - Prozhe (5) Khair khana,Female,1,46 - 55,Vocational training after Secondary / High School,"Yes, some","8001 - 10,000 AFN",Yes,Community Leader,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Driver license,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.58420948,69.14801551
10,Kabul PD11 - Gulaye Sinama,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Other,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.56992721,69.14568922
9,Kabul PD11 - Gulaye Sinama,Female,1,Up to 25,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Refusal of service,Tashkera,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.56992721,69.14568922
9,Kabul PD11 - Gulaye Sinama,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,100 Afs,Payment of money,Filing a case with the courts,PD11,32,Placeholder,Tablet 07 - Shakira (Kabul),34.57005078,69.1451519
12,Kabul PD11 - Gulaye Sinama,Female,1,36 - 45,I do not have any formal education,No,6001 - 8000 AFN,No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,Other,PD11,32,Placeholder,Tablet 07 - Shakira (Kabul),34.57005078,69.1451519
10,Kabul PD11 - Gulaye Sinama,Female,1,46 - 55,Primary education,"Yes, some","10,001 - 15,000 AFN",No,None of the above,Other,Strong impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.56995885,69.14412552
12,Kabul PD11 - Prohzhe Jaded (315),Female,1,26 - 35,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Moderate impact,"1,000 Afs",Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58740767,69.14324681
11,Kabul PD11 - Gulaye Sinama,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,No payment made,Delay of service,Filing a case with the courts,PD11,31,Placeholder,Tablet 07 - Shakira (Kabul),34.56982088,69.14311287
14,Kabul PD11 - Gulaye Sinama,Female,1,46 - 55,Primary education,No,6001 - 8000 AFN,No,None of the above,Other,Moderate impact,No payment made,Delay of service,Filing a case with the courts,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.56982088,69.14311287
10,Kabul PD11 - Prohzhe Jaded (315),Female,1,26 - 35,Secondary education / High School / Institute,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58680494,69.14308728
8,Kabul PD11 - Prohzhe Jaded (315),Female,1,26 - 35,Primary education,No,I prefer not to say,No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 07 - Shakira (Kabul),34.58719518,69.14293064
17,Kabul PD11 - Prohzhe Jaded (315),Female,1,26 - 35,University or post-graduate education,"Yes, some","8001 - 10,000 AFN",No,"Respected professional (e.g. Educational, Medical, Technical)",Other,Strong impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58732722,69.14277212
30,Kabul PD11 - Afsotar appartments,Female,1,Up to 25,Secondary education / High School / Institute,"Yes, on a regular basis",I prefer not to say,Yes,Business owner (with paid workers),Professional / Manager,Extreme impact,"10,000 Afs",Payment of money,Tashkera,PD11,34,Placeholder,Tablet 16 - Humaira (Kabul),34.57042975,69.14263315
14,Kabul PD11 - Afsotar appartments,Female,1,26 - 35,Secondary education / High School / Institute,"Yes, on a regular basis",I prefer not to say,Yes,Business owner (with paid workers),Professional / Manager,Extreme impact,"100,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD11,34,Placeholder,Tablet 16 - Humaira (Kabul),34.57042975,69.14263315
10,Kabul PD11 - Prohzhe Jaded (315),Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Payment of money,Other,PD11,31,Placeholder,Tablet 07 - Shakira (Kabul),34.58700417,69.14246511
30,Kabul PD11 - Prohzhe Jaded (315),Female,1,26 - 35,Primary education,No,"10,001 - 15,000 AFN",No,None of the above,Other,Extreme impact,"100,000 Afs",Payment of money,Filing a case with the courts,PD11,32,Placeholder,Tablet 07 - Shakira (Kabul),34.58700417,69.14246511
15,Kabul PD11 - Prohzhe Jaded (315),Female,1,26 - 35,Vocational training after Secondary / High School,No,I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)","Unemployed, unpaid worker or retired",Strong impact,No payment made,Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58698725,69.14141454
8,Kabul PD11 - Prohzhe Jaded (315),Female,1,46 - 55,Secondary education / High School / Institute,No,6001 - 8000 AFN,No,"Judge or senior official in district, provincial or national Government",Police,Strong impact,No payment made,Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.58698725,69.14141454
15,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,26 - 35,Primary education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Moderate impact,No payment made,Delay of service,Filing a case with the courts,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.59307043,69.14059727
12,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Moderate impact,No payment made,Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.59307043,69.14059727
16,Kabul PD11 - Qala-e-Najara,Female,1,36 - 45,Secondary education / High School / Institute,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Driver license,PD11,32,Placeholder,Tablet 02 - Shukria (Kabul),34.57156718,69.13998016
25,Kabul PD11 - Qala-e-Najara,Female,1,46 - 55,Secondary education / High School / Institute,"Yes, some","8001 - 10,000 AFN",No,Landowner (with paid workers or tenants),Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Tashkera,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.57173128,69.13993419
15,Kabul PD11 - Qala-e-Najara,Female,1,26 - 35,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.57177694,69.13983081
16,Kabul PD11 - Prozhe (5) Khair khana,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,Senior Officer in the Afghan Army or Afghan National Police,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.57177694,69.13983081
14,Kabul PD11 - Qala-e-Najara,Female,1,Up to 25,Primary education,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Moderate impact,No payment made,Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.57237527,69.13981151
8,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,"Judge or senior official in district, provincial or national Government","Unemployed, unpaid worker or retired",Extreme impact,"1,000 Afs",Payment of money,Other,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.5922978,69.13944029
17,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Delay of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.5922978,69.13944029
20,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,Community Leader,Provincial Official,Moderate impact,100 Afs,Payment of money,Tashkera,PD11,31,Placeholder,Tablet 16 - Humaira (Kabul),34.59339764,69.13935823
39,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,Up to 25,Secondary education / High School / Institute,"Yes, on a regular basis",I prefer not to say,No,Business owner (with paid workers),District Official,Strong impact,"1,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.59339764,69.13935823
21,Kabul PD11 - Prozhe (5) Khair khana,Female,1,36 - 45,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,Community Leader,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Driver license,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.59339764,69.13935823
26,Kabul PD11 - Prozhe (5) Khair khana,Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, on a regular basis",I prefer not to say,No,Business owner (with paid workers),Provincial Official,Extreme impact,"100,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.59339764,69.13935823
15,Kabul PD11 - Qala-e-Najara,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,Religious Leader,"Unemployed, unpaid worker or retired",Moderate impact,No payment made,Refusal of service,Other,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.57090382,69.13918365
,Kabul PD11 - Prozhe (5) Khair khana,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,Yes,"Judge or senior official in district, provincial or national Government",Police,Extreme impact,"10,000 Afs",Payment of money,Vehicle registration,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.59422443,69.13911076
38,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,Religious Leader,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.59353278,69.13839873
39,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,Driver license,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.54139795,69.13777124
33,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,,Other,Strong impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.54139795,69.13777124
25,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,I do not have any formal education,"Yes, on a regular basis",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.54139795,69.13777124
22,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Refusal of service,Tashkera,PD16,33,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.54139795,69.13777124
27,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,Primary education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.54139795,69.13777124
96,Kabul PD11 - Hase Awal dah Kipak,Female,1,Up to 25,I do not have any formal education,"Yes, some",I prefer not to say,Yes,Senior Officer in the Afghan Army or Afghan National Police,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Tashkera,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.57032208,69.13760578
24,Kabul PD11 - Lisa Maryam,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Payment of money,Obtaining a judgement,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.58054483,69.13664579
33,Kabul PD11 - Lisa Maryam,Female,1,26 - 35,Secondary education / High School / Institute,No,I prefer not to say,No,None of the above,Other,Extreme impact,No payment made,Refusal of service,Tashkera,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.58057042,69.13658702
19,Kabul PD11 - Lisa Maryam,Female,1,36 - 45,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,"Judge or senior official in district, provincial or national Government","Unemployed, unpaid worker or retired",Moderate impact,"1,000 Afs",Refusal of service,Other,PD11,31,Placeholder,Tablet 17 - Fatima (Kabul),34.57962276,69.13600095
9,Kabul PD11 - Lisa Maryam,Female,1,36 - 45,Primary education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,"100,000 Afs",Demand for sexual favours,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.57962276,69.13600095
32,Kabul PD11 - Lisa Maryam,Female,1,46 - 55,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)","Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Refusal of service,Other,PD11,32,Placeholder,Tablet 17 - Fatima (Kabul),34.57962276,69.13600095
11,Kabul PD11 - Lisa Maryam,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,Selected or elected representative (past or present),"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Delay of service,Tashkera,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.57962276,69.13600095
13,Kabul PD11 - Lisa Maryam,Female,1,26 - 35,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Other,Extreme impact,No payment made,Delay of service,District office to obtain official documentation such as land ownership,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.58012116,69.13597897
10,Kabul PD11 - Lisa Maryam,Female,1,36 - 45,Primary education,No,"8001 - 10,000 AFN",No,None of the above,Police,Strong impact,No payment made,Refusal of service,Tashkera,PD11,33,Placeholder,Tablet 07 - Shakira (Kabul),34.58032779,69.13416333
24,Kabul PD11 - Prozhe Naw Abad,Female,1,26 - 35,Primary education,No,"8001 - 10,000 AFN",No,Selected or elected representative (past or present),Provincial Official,Extreme impact,100 Afs,Payment of money,Tashkera,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.58445809,69.12978339
26,Kabul PD11 - Prozhe Naw Abad,Female,1,Up to 25,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)",Provincial Official,Extreme impact,"1,000 Afs",Payment of money,Driver license,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.58445809,69.12978339
16,Kabul PD11 - Prozhe Naw Abad Jadid,Female,1,46 - 55,Primary education,No,I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)",Provincial Official,Extreme impact,"1,000,000 Afs",Payment of money,Filing a case with the courts,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.58445809,69.12978339
20,Kabul PD11 - Prozhe (5) Khair khana,Female,1,36 - 45,Vocational training after Secondary / High School,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD11,32,Placeholder,Tablet 02 - Shukria (Kabul),34.59421889,69.12939535
15,Kabul PD11 - Prozhe (5) Khair khana,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,None of the above,"Unemployed, unpaid worker or retired",Moderate impact,No payment made,Delay of service,Reporting a offence/crime to the police,PD11,33,Placeholder,Tablet 17 - Fatima (Kabul),34.59431719,69.12921835
22,Kabul PD11 - Prozhe (5) Khair khana,Female,1,26 - 35,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,Yes,Community Leader,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.59422514,69.12878143
21,Kabul PD11 - Prozhe (5) Khair khana,Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,Yes,"Judge or senior official in district, provincial or national Government",Malik or Wakil-e-Guzar,Extreme impact,"1,000,000 Afs",Payment of money,Reporting a offence/crime to the police,PD11,32,Placeholder,Tablet 08 - Not assigned (Kabul),34.59452669,69.12856686
14,Kabul PD11 - Prozhe (5) Khair khana,Female,1,36 - 45,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,Yes,Senior Officer in the Afghan Army or Afghan National Police,Provincial Official,Extreme impact,"10,000 Afs",Payment of money,Vehicle registration,PD11,34,Placeholder,Tablet 08 - Not assigned (Kabul),34.59452669,69.12856686
